symbol,date,score,max,bucket,entry_price,stop_price,target_3_outcome,target_3_pnl,target_3_day,target_5_outcome,target_5_pnl,target_5_day,target_8_outcome,target_8_pnl,target_8_day
AEFES,2024-08-06,60,140,<70,23.809999465942383,21.130797132032026,TARGET,3.0,2.0,TARGET,5.0,3.0,TARGET,8.0,3.0
AEFES,2024-08-13,59,140,<70,25.875,23.238981542141346,STOP,-10.187510948246006,8.0,STOP,-10.187510948246006,8.0,STOP,-10.187510948246006,8.0
AEFES,2024-08-20,43,140,<70,24.809999465942383,22.357693141815542,STOP,-9.884346541374232,5.0,STOP,-9.884346541374232,5.0,STOP,-9.884346541374232,5.0
AEFES,2024-08-27,63,140,<70,22.920000076293945,20.556028225815105,STOP,-10.314013274912186,8.0,STOP,-10.314013274912186,8.0,STOP,-10.314013274912186,8.0
AEFES,2024-09-04,33,140,<70,21.389999389648438,19.202503833457826,STOP,-10.22672098461694,15.0,STOP,-10.22672098461694,15.0,STOP,-10.22672098461694,15.0
AEFES,2024-09-11,30,140,<70,20.950000762939453,18.979812863530917,STOP,-9.40423784085869,15.0,STOP,-9.40423784085869,15.0,STOP,-9.40423784085869,15.0
AEFES,2024-09-18,40,140,<70,20.68000030517578,18.907835289000925,STOP,-8.569463201271423,10.0,STOP,-8.569463201271423,10.0,STOP,-8.569463201271423,10.0
AEFES,2024-09-25,45,140,<70,19.239999771118164,17.618032304708308,TARGET,3.0,1.0,TARGET,5.0,2.0,STOP,-8.430184437136264,19.0
AEFES,2024-10-02,38,140,<70,18.959999084472656,17.460884861764857,TARGET,3.0,3.0,TARGET,5.0,5.0,TIMEOUT,1.1076002213168352,
AEFES,2024-10-09,52,140,<70,19.850000381469727,18.379985088694596,STOP,-7.405618461082811,3.0,STOP,-7.405618461082811,3.0,STOP,-7.405618461082811,3.0
AEFES,2024-10-16,64,140,<70,18.1200008392334,16.654434333764417,TARGET,3.0,5.0,TARGET,5.0,5.0,TARGET,8.0,5.0
AEFES,2024-10-23,64,140,<70,19.049999237060547,17.51036935610168,TARGET,3.0,2.0,STOP,-8.082046942887093,8.0,STOP,-8.082046942887093,8.0
AEFES,2024-10-31,57,140,<70,19.170000076293945,17.774269943013813,STOP,-7.280804004826915,3.0,STOP,-7.280804004826915,3.0,STOP,-7.280804004826915,3.0
AEFES,2024-11-07,74,140,70-79,20.399999618530273,18.721664671883183,TARGET,3.0,3.0,TARGET,5.0,3.0,TARGET,8.0,5.0
AEFES,2024-11-14,71,140,70-79,21.75,20.081328520692832,STOP,-7.67205277842376,4.0,STOP,-7.67205277842376,4.0,STOP,-7.67205277842376,4.0
AEFES,2024-11-21,64,140,<70,19.559999465942383,17.767576884313424,TARGET,3.0,1.0,TARGET,5.0,1.0,TARGET,8.0,1.0
AEFES,2024-11-28,75,140,70-79,20.510000228881836,18.68825005852805,TARGET,3.0,5.0,TARGET,5.0,5.0,TARGET,8.0,6.0
AEFES,2024-12-05,89,140,80-89,21.299999237060547,19.601108219132527,TARGET,3.0,1.0,TARGET,5.0,1.0,TARGET,8.0,2.0
AEFES,2024-12-12,62,140,<70,22.850000381469727,21.145803663671515,TARGET,3.0,6.0,TARGET,5.0,11.0,STOP,-7.458191200645382,13.0
AEFES,2024-12-19,77,140,70-79,22.40999984741211,20.669552199910342,TARGET,3.0,1.0,TARGET,5.0,1.0,STOP,-7.766388484392395,8.0
AEFES,2024-12-26,62,140,<70,23.75,22.054940304036794,STOP,-7.137093456687182,2.0,STOP,-7.137093456687182,2.0,STOP,-7.137093456687182,2.0
AEFES,2025-01-03,66,140,<70,17.549999237060547,15.425666217455897,TIMEOUT,-8.034187514006243,,TIMEOUT,-8.034187514006243,,TIMEOUT,-8.034187514006243,
AEFES,2025-01-10,42,140,<70,16.719999313354492,14.948123828327292,TARGET,3.0,4.0,TIMEOUT,-2.7511908095908155,,TIMEOUT,-2.7511908095908155,
AEFES,2025-01-17,22,140,<70,16.56999969482422,14.94769810549315,TARGET,3.0,1.0,TARGET,5.0,19.0,TIMEOUT,3.7417070045394207,
AEFES,2025-01-24,44,140,<70,16.579999923706055,15.18021790956452,TARGET,3.0,14.0,TARGET,5.0,14.0,TIMEOUT,-0.7840721433341443,
AEFES,2025-01-31,42,140,<70,16.139999389648438,14.944148072273142,TARGET,3.0,9.0,TARGET,5.0,9.0,TARGET,8.0,11.0
AEFES,2025-02-07,63,140,<70,16.260000228881836,15.116478720423272,TARGET,3.0,4.0,TARGET,5.0,4.0,TARGET,8.0,7.0
AEFES,2025-02-14,46,140,<70,17.190000534057617,16.03043073401333,TARGET,3.0,2.0,TARGET,5.0,14.0,TARGET,8.0,18.0
AEFES,2025-02-21,35,140,<70,16.450000762939453,15.242453969143133,TARGET,3.0,3.0,TARGET,5.0,3.0,TARGET,8.0,8.0
AEFES,2025-02-28,76,140,70-79,17.280000686645508,16.058789049950725,TARGET,3.0,3.0,TARGET,5.0,6.0,TARGET,8.0,10.0
AEFES,2025-03-07,44,140,<70,17.899999618530273,16.74353165284262,TARGET,3.0,1.0,TARGET,5.0,5.0,STOP,-6.4607150297951135,10.0
AEFES,2025-03-14,51,140,<70,19.0,17.77404738679791,STOP,-6.452382174747839,3.0,STOP,-6.452382174747839,3.0,STOP,-6.452382174747839,3.0
AEFES,2025-03-21,41,140,<70,15.569999694824219,14.011735133815119,TARGET,3.0,1.0,TARGET,5.0,2.0,TARGET,8.0,2.0
AEFES,2025-03-28,22,140,<70,16.709999084472656,15.122596462270675,TARGET,3.0,1.0,TIMEOUT,-4.4883248798176245,,TIMEOUT,-4.4883248798176245,
AEFES,2025-04-08,41,140,<70,16.56999969482422,15.083090987089234,TARGET,3.0,10.0,STOP,-8.973498703198128,19.0,STOP,-8.973498703198128,19.0
AEFES,2025-04-15,24,140,<70,16.270000457763672,14.993909311579912,TARGET,3.0,4.0,TARGET,5.0,5.0,STOP,-7.843215183038535,15.0
AEFES,2025-04-22,55,140,<70,16.829999923706055,15.538616282765902,STOP,-7.673105447381266,9.0,STOP,-7.673105447381266,9.0,STOP,-7.673105447381266,9.0
AEFES,2025-04-30,37,140,<70,15.960000038146973,14.730397378050442,STOP,-7.704277300486101,5.0,STOP,-7.704277300486101,5.0,STOP,-7.704277300486101,5.0
AEFES,2025-05-08,52,140,<70,14.850000381469727,13.702529823375652,TARGET,3.0,2.0,TARGET,5.0,2.0,TARGET,8.0,2.0
AEFES,2025-05-15,42,140,<70,16.31999969482422,14.953497873976461,STOP,-8.373173078435379,7.0,STOP,-8.373173078435379,7.0,STOP,-8.373173078435379,7.0
AEFES,2025-05-23,27,140,<70,15.079999923706055,13.825440509747963,STOP,-8.31935955109588,6.0,STOP,-8.31935955109588,6.0,STOP,-8.31935955109588,6.0
AEFES,2025-05-30,30,140,<70,13.930000305175781,12.789002808893356,TARGET,3.0,3.0,TARGET,5.0,5.0,TARGET,8.0,20.0
AEFES,2025-06-10,46,140,<70,14.8100004196167,13.773776277677902,STOP,-6.996786715591573,3.0,STOP,-6.996786715591573,3.0,STOP,-6.996786715591573,3.0
AEFES,2025-06-17,35,140,<70,13.600000381469727,12.588062077396174,TARGET,3.0,3.0,TARGET,5.0,7.0,TARGET,8.0,7.0
AEFES,2025-06-24,54,140,<70,13.84000015258789,12.877963905027029,TARGET,3.0,2.0,TARGET,5.0,2.0,TARGET,8.0,4.0
AEFES,2025-07-01,52,140,<70,15.359999656677246,14.291434396025991,TARGET,3.0,2.0,TARGET,5.0,2.0,TIMEOUT,-0.26041642413474075,
AEFES,2025-07-08,59,140,<70,15.1899995803833,14.064993442491447,TARGET,3.0,1.0,TARGET,5.0,2.0,TIMEOUT,6.978278136265435,
AEFES,2025-07-16,50,140,<70,14.760000228881836,13.580454171145664,TARGET,3.0,1.0,TARGET,5.0,3.0,TARGET,8.0,6.0
AEFES,2025-07-23,64,140,<70,15.789999961853027,14.67936298529911,TARGET,3.0,10.0,TARGET,5.0,11.0,TARGET,8.0,11.0
AEFES,2025-07-30,79,140,70-79,15.319999694824219,14.343631753318427,TARGET,3.0,3.0,TARGET,5.0,5.0,TARGET,8.0,6.0
AEFES,2025-08-06,69,140,<70,16.25,15.271303103653683,TARGET,3.0,1.0,TARGET,5.0,1.0,TARGET,8.0,3.0
AEFES,2025-08-13,74,140,70-79,17.15999984741211,16.046497567098672,TARGET,3.0,5.0,TARGET,5.0,6.0,STOP,-6.488941085167688,14.0
AEFES,2025-08-20,62,140,<70,17.829999923706055,16.621187296319203,STOP,-6.779655819177334,9.0,STOP,-6.779655819177334,9.0,STOP,-6.779655819177334,9.0
AEFES,2025-08-27,50,140,<70,17.25,16.17681930869455,STOP,-6.2213373409011545,4.0,STOP,-6.2213373409011545,4.0,STOP,-6.2213373409011545,4.0
AEFES,2025-09-03,50,140,<70,15.449999809265137,14.275050981050919,STOP,-7.6048468784421495,7.0,STOP,-7.6048468784421495,7.0,STOP,-7.6048468784421495,7.0
AEFES,2025-09-10,50,140,<70,15.020000457763672,13.92856289194672,TARGET,3.0,6.0,TARGET,5.0,8.0,STOP,-7.266561468397289,12.0
AEFES,2025-09-17,24,140,<70,15.220000267028809,14.127401149661132,TARGET,3.0,1.0,STOP,-7.178706295653499,7.0,STOP,-7.178706295653499,7.0
AEFES,2025-09-24,37,140,<70,14.819999694824219,13.770548989249027,STOP,-7.081313948621097,3.0,STOP,-7.081313948621097,3.0,STOP,-7.081313948621097,3.0
AEFES,2025-10-01,47,140,<70,14.039999961853027,13.01525363238226,TARGET,3.0,5.0,TARGET,5.0,13.0,TIMEOUT,2.8490001397227975,
AEFES,2025-10-08,54,140,<70,13.949999809265137,12.95304186079124,TARGET,3.0,7.0,TARGET,5.0,8.0,TARGET,8.0,20.0
AEFES,2025-10-15,61,140,<70,14.0,12.990317199925425,TARGET,3.0,2.0,TARGET,5.0,3.0,TIMEOUT,2.285712105887277,
AEFES,2025-10-22,48,140,<70,14.350000381469727,13.26414919984295,TARGET,3.0,7.0,TARGET,5.0,10.0,TIMEOUT,4.738671313065285,
AEFES,2025-10-30,51,140,<70,14.4399995803833,13.439805694108895,TARGET,3.0,4.0,TARGET,5.0,14.0,TARGET,8.0,17.0
AEFES,2025-11-06,69,140,<70,14.84000015258789,13.882617153092092,STOP,-6.451367854796448,3.0,STOP,-6.451367854796448,3.0,STOP,-6.451367854796448,3.0
AEFES,2025-11-13,64,140,<70,14.319999694824219,13.329449323924962,TARGET,3.0,3.0,TARGET,5.0,4.0,TARGET,8.0,7.0
AEFES,2025-11-20,62,140,<70,15.029999732971191,14.058550638781867,TARGET,3.0,2.0,TARGET,5.0,2.0,TARGET,8.0,3.0
AEFES,2025-11-27,69,140,<70,16.280000686645508,15.150960399730849,TARGET,3.0,13.0,TIMEOUT,-3.255532335943128,,TIMEOUT,-3.255532335943128,
AEFES,2025-12-04,60,140,<70,15.640000343322754,14.602950822758762,TARGET,3.0,4.0,TARGET,5.0,7.0,TARGET,8.0,8.0
AEFES,2025-12-11,49,140,<70,16.020000457763672,15.071341689892959,TARGET,3.0,2.0,TARGET,5.0,3.0,TIMEOUT,2.9338283391041937,
AEFES,2025-12-18,55,140,<70,16.799999237060547,15.885005005407564,STOP,-5.446394483367115,3.0,STOP,-5.446394483367115,3.0,STOP,-5.446394483367115,3.0
AEFES,2025-12-25,81,140,80-89,15.75,14.866571870930903,TARGET,3.0,2.0,TARGET,5.0,2.0,TARGET,8.0,13.0
AEFES,2026-01-02,61,140,<70,15.960000038146973,14.998715522174814,TARGET,3.0,3.0,TARGET,5.0,8.0,TARGET,8.0,9.0
AEFES,2026-01-09,78,140,70-79,16.489999771118164,15.590498018935211,TARGET,3.0,3.0,TARGET,5.0,4.0,TARGET,8.0,5.0
AEFES,2026-01-16,74,140,70-79,18.059999465942383,17.084550058056656,STOP,-5.401159671821877,2.0,STOP,-5.401159671821877,2.0,STOP,-5.401159671821877,2.0
AEFES,2026-01-23,69,140,<70,17.850000381469727,16.73464892265562,TARGET,3.0,3.0,TARGET,5.0,4.0,TARGET,8.0,6.0
AEFES,2026-01-30,58,140,<70,19.209999084472656,18.048748046920586,TARGET,3.0,1.0,TARGET,5.0,2.0,TARGET,8.0,9.0
AEFES,2026-02-06,62,140,<70,20.18000030517578,18.865986454788157,TARGET,3.0,4.0,TARGET,5.0,4.0,TARGET,8.0,5.0
AEFES,2026-02-13,73,140,70-79,21.899999618530273,20.412104312989047,STOP,-6.794042609399279,4.0,STOP,-6.794042609399279,4.0,STOP,-6.794042609399279,4.0
AEFES,2026-02-20,72,140,70-79,20.020000457763672,18.45372204040707,STOP,-7.82356833937637,6.0,STOP,-7.82356833937637,6.0,STOP,-7.82356833937637,6.0
AEFES,2026-02-27,72,140,70-79,18.950000762939453,17.478060681826364,STOP,-7.76749351900695,5.0,STOP,-7.76749351900695,5.0,STOP,-7.76749351900695,5.0
AEFES,2026-03-06,50,140,<70,16.889999389648438,15.242409716190311,TARGET,3.0,2.0,TARGET,5.0,3.0,TIMEOUT,2.0722344234318633,
AEFES,2026-03-13,35,140,<70,17.290000915527344,15.649550261200961,TARGET,3.0,3.0,TARGET,5.0,19.0,TARGET,8.0,19.0
AEFES,2026-03-23,47,140,<70,17.469999313354492,15.905028278425974,TARGET,3.0,14.0,TARGET,5.0,14.0,TARGET,8.0,14.0
AEFES,2026-03-30,30,140,<70,16.170000076293945,14.724412015673469,TARGET,3.0,1.0,TARGET,5.0,2.0,TARGET,8.0,4.0
AEFES,2026-04-06,63,140,<70,17.239999771118164,15.87163698560972,TARGET,3.0,3.0,TARGET,5.0,4.0,TARGET,8.0,4.0
AEFES,2026-04-13,71,140,70-79,18.440000534057617,16.858843454821262,TARGET,3.0,2.0,TARGET,5.0,4.0,TARGET,8.0,15.0
AEFES,2026-04-20,72,140,70-79,19.149999618530273,17.62989255820337,TARGET,3.0,2.0,TARGET,5.0,10.0,TARGET,8.0,11.0
AEFES,2026-04-28,75,140,70-79,18.850000381469727,17.464335999742776,TARGET,3.0,4.0,TARGET,5.0,5.0,TARGET,8.0,6.0
AEFES,2026-05-06,75,140,70-79,20.020000457763672,18.60906747987745,TARGET,3.0,1.0,TARGET,5.0,3.0,STOP,-7.047617111012945,10.0
AEFES,2026-05-13,76,140,70-79,20.700000762939453,19.209686448610157,STOP,-7.199585794206841,4.0,STOP,-7.199585794206841,4.0,STOP,-7.199585794206841,4.0
AEFES,2026-05-21,59,140,<70,18.579999923706055,17.017777861491993,TARGET,3.0,1.0,TARGET,5.0,1.0,TARGET,8.0,8.0
AEFES,2026-05-28,57,140,<70,19.299999237060547,17.94716035484988,TARGET,3.0,3.0,TARGET,5.0,4.0,TARGET,8.0,8.0
AEFES,2026-06-04,86,140,80-89,20.65999984741211,19.316596382357428,TARGET,3.0,7.0,TIMEOUT,-0.7744426359816798,,TIMEOUT,-0.7744426359816798,
AEFES,2026-06-11,82,140,80-89,20.219999313354492,18.87592011832181,TARGET,3.0,1.0,TARGET,5.0,2.0,TIMEOUT,-2.5222564104886067,
AEFES,2026-06-18,63,140,<70,21.520000457763672,20.13712044037723,STOP,-6.426022248933297,12.0,STOP,-6.426022248933297,12.0,STOP,-6.426022248933297,12.0
AEFES,2026-06-25,71,140,70-79,20.719999313354492,19.42438105449722,TARGET,3.0,1.0,STOP,-6.252984082013056,10.0,STOP,-6.252984082013056,10.0
AEFES,2026-07-02,64,140,<70,20.5,19.20639218061472,TARGET,3.0,11.0,TARGET,5.0,12.0,TARGET,8.0,12.0
AGHOL,2024-08-06,53,140,<70,37.70000076293945,33.92900801158219,TARGET,3.0,2.0,STOP,-10.00263309030034,10.0,STOP,-10.00263309030034,10.0
AGHOL,2024-08-13,53,140,<70,36.900001525878906,33.32982492591981,STOP,-9.675274938553166,6.0,STOP,-9.675274938553166,6.0,STOP,-9.675274938553166,6.0
AGHOL,2024-08-20,38,140,<70,34.07500076293945,30.71541095167475,TIMEOUT,-4.695531190005281,,TIMEOUT,-4.695531190005281,,TIMEOUT,-4.695531190005281,
AGHOL,2024-08-27,48,140,<70,32.07500076293945,29.142519399867606,TARGET,3.0,1.0,TARGET,5.0,3.0,TARGET,8.0,3.0
AGHOL,2024-09-04,42,140,<70,32.42499923706055,29.56631082269616,TARGET,3.0,3.0,TIMEOUT,-5.93677496485596,,TIMEOUT,-5.93677496485596,
AGHOL,2024-09-11,40,140,<70,31.825000762939453,29.070733823380927,TARGET,3.0,3.0,TARGET,5.0,8.0,TIMEOUT,-3.1421837424258934,
AGHOL,2024-09-18,52,140,<70,32.474998474121094,29.871322739733152,TARGET,3.0,3.0,STOP,-8.017477618860482,11.0,STOP,-8.017477618860482,11.0
AGHOL,2024-09-25,64,140,<70,32.5,30.18891398221594,TARGET,3.0,2.0,STOP,-7.11103390087403,4.0,STOP,-7.11103390087403,4.0
AGHOL,2024-10-02,58,140,<70,30.5,28.18112610964428,TARGET,3.0,7.0,TIMEOUT,-4.999998749279585,,TIMEOUT,-4.999998749279585,
AGHOL,2024-10-09,57,140,<70,30.825000762939453,28.655793929437163,STOP,-7.0371671688985105,8.0,STOP,-7.0371671688985105,8.0,STOP,-7.0371671688985105,8.0
AGHOL,2024-10-16,48,140,<70,29.274999618530273,27.170280986697556,TARGET,3.0,5.0,TARGET,5.0,5.0,STOP,-7.189474497893721,13.0
AGHOL,2024-10-23,47,140,<70,28.799999237060547,26.629038474895765,TARGET,3.0,9.0,TARGET,5.0,9.0,TARGET,8.0,10.0
AGHOL,2024-10-31,69,140,<70,28.975000381469727,27.066700775301562,STOP,-6.586020987211347,3.0,STOP,-6.586020987211347,3.0,STOP,-6.586020987211347,3.0
AGHOL,2024-11-07,57,140,<70,30.524999618530273,28.293612466591703,TARGET,3.0,3.0,TARGET,5.0,3.0,TARGET,8.0,3.0
AGHOL,2024-11-14,62,140,<70,33.849998474121094,31.48393637046011,TARGET,3.0,16.0,TARGET,5.0,16.0,TARGET,8.0,17.0
AGHOL,2024-11-21,69,140,<70,32.79999923706055,30.49469352757077,TARGET,3.0,2.0,TARGET,5.0,4.0,TARGET,8.0,11.0
AGHOL,2024-11-28,80,140,80-89,32.29999923706055,30.04773369770283,TARGET,3.0,3.0,TARGET,5.0,6.0,TARGET,8.0,6.0
AGHOL,2024-12-05,77,140,70-79,33.650001525878906,31.575893636526303,TARGET,3.0,1.0,TARGET,5.0,1.0,TARGET,8.0,2.0
AGHOL,2024-12-12,69,140,<70,37.400001525878906,34.93681634978446,STOP,-6.586056351869529,8.0,STOP,-6.586056351869529,8.0,STOP,-6.586056351869529,8.0
AGHOL,2024-12-19,68,140,<70,36.04999923706055,33.67415429162053,TARGET,3.0,1.0,TARGET,5.0,6.0,STOP,-6.590416076895698,8.0
AGHOL,2024-12-26,60,140,<70,36.29999923706055,33.96768745355125,TARGET,3.0,1.0,TARGET,5.0,2.0,STOP,-6.4251014670218485,3.0
AGHOL,2025-01-03,62,140,<70,32.849998474121094,29.788442550393338,STOP,-9.3198053757586,8.0,STOP,-9.3198053757586,8.0,STOP,-9.3198053757586,8.0
AGHOL,2025-01-10,43,140,<70,30.600000381469727,27.88548043401588,TARGET,3.0,6.0,TIMEOUT,-0.7352953551137169,,TIMEOUT,-0.7352953551137169,
AGHOL,2025-01-17,45,140,<70,30.899999618530273,28.41379215752217,TARGET,3.0,1.0,TIMEOUT,1.9417488313168627,,TIMEOUT,1.9417488313168627,
AGHOL,2025-01-24,67,140,<70,31.5,29.186298699807068,STOP,-7.3450834926759745,8.0,STOP,-7.3450834926759745,8.0,STOP,-7.3450834926759745,8.0
AGHOL,2025-01-31,61,140,<70,30.075000762939453,27.957803512735193,TARGET,3.0,9.0,TARGET,5.0,9.0,TARGET,8.0,13.0
AGHOL,2025-02-07,64,140,<70,30.375,28.362748795944263,TARGET,3.0,4.0,TARGET,5.0,4.0,TARGET,8.0,19.0
AGHOL,2025-02-14,41,140,<70,31.5,29.547833590716998,TARGET,3.0,3.0,TARGET,5.0,19.0,TARGET,8.0,20.0
AGHOL,2025-02-21,47,140,<70,31.075000762939453,29.114290333742105,TARGET,3.0,7.0,TARGET,5.0,8.0,TARGET,8.0,15.0
