Setup,Sinyal,5G Ort.%,5G Rel.%,5G Rel.Kazanma%,10G Ort.%,10G Rel.%,10G Rel.Kazanma%,20G Ort.%,20G Rel.%,20G Rel.Kazanma%,%5 Hedef,%5 Stop,%5 Timeout,%5 Ort.PnL
BASELINE,6857,0.28,0.07,47.3,0.59,-0.07,44.9,1.12,-0.32,43.6,59.6,35.9,4.5,0.55
A - Hacim yüksek,1709,0.64,0.36,50.0,0.99,0.37,47.5,1.5,0.25,45.2,64.4,31.8,3.8,1.08
B - Hacim + Momentum,617,0.44,0.29,51.2,0.65,0.01,45.1,1.67,0.14,46.5,64.8,31.6,3.6,1.28
C - Hacim + S/R,889,0.56,0.22,50.6,1.04,0.37,49.4,1.39,0.1,45.2,63.8,30.9,5.3,0.89
D - Hacim + R/R >=2,322,0.69,0.04,46.9,1.3,0.29,48.8,0.58,-0.64,41.9,61.8,32.3,5.9,0.66
E - Hacim + R/R >=3,97,0.88,-0.23,47.4,0.51,-0.8,47.4,-0.72,-2.1,42.3,66.0,27.8,6.2,1.16
F - Hacim + Momentum + S/R,204,0.55,0.52,55.9,0.43,0.2,47.1,1.34,-0.24,45.6,64.7,29.9,5.4,1.16
G - Hacim + Momentum + R/R >=2,7,-2.52,-1.99,28.6,-2.98,-1.26,57.1,-4.5,-2.66,42.9,28.6,71.4,0.0,-2.61
H - Hacim + S/R + R/R >=2,322,0.69,0.04,46.9,1.3,0.29,48.8,0.58,-0.64,41.9,61.8,32.3,5.9,0.66
I - Hacim + R/R >=2 + EMA50 <15%,280,0.49,-0.22,44.6,1.12,-0.08,47.1,0.75,-0.69,40.4,59.6,35.4,5.0,0.43
J - Hacim + Momentum + R/R >=2 + EMA50 <15%,7,-2.52,-1.99,28.6,-2.98,-1.26,57.1,-4.5,-2.66,42.9,28.6,71.4,0.0,-2.61
K - Hacim + S/R + R/R >=2 + EMA50 <15%,280,0.49,-0.22,44.6,1.12,-0.08,47.1,0.75,-0.69,40.4,59.6,35.4,5.0,0.43
L - Hacim + Momentum + S/R + R/R >=2,7,-2.52,-1.99,28.6,-2.98,-1.26,57.1,-4.5,-2.66,42.9,28.6,71.4,0.0,-2.61
